OrderID,CustomerID,DishID,Feedback,Rating,Sentiment
O00001,C0329,R71,"Very good, will order again",4,Positive
O00002,C0091,R56,Excellent taste and service,4,Positive
O00003,C0052,R166,"Loved it, highly recommended",5,Very Positive
O00004,C0213,R8,Perfectly cooked and tasty,5,Very Positive
O00005,C0089,R143,"Loved it, highly recommended",5,Very Positive
O00006,C0160,R60,Service was slow but food good,4,Positive
O00007,C0114,R136,Excellent taste and service,4,Positive
O00008,C0271,R10,"Very good, will order again",4,Positive
O00009,C0152,R135,Will not order this again,3,Neutral
O00010,C0266,R139,"Loved it, highly recommended",5,Very Positive
O00011,C0005,R38,"Loved it, highly recommended",5,Very Positive
O00012,C0084,R124,Not satisfied with the taste,2,Negative
O00013,C0181,R159,Excellent taste and service,4,Positive
O00014,C0235,R111,Perfectly cooked and tasty,5,Very Positive
O00015,C0133,R47,Not satisfied with the taste,2,Negative
O00016,C0289,R68,"Very good, will order again",4,Positive
O00017,C0263,R26,"Very good, will order again",4,Positive
O00018,C0054,R137,Average experience,3,Neutral
O00019,C0299,R133,Excellent taste and service,4,Positive
O00020,C0191,R55,Too spicy for me,3,Neutral
O00021,C0229,R124,"Very good, will order again",4,Positive
O00022,C0126,R68,"Very good, will order again",4,Positive
O00023,C0075,R8,"Loved it, highly recommended",5,Very Positive
O00024,C0048,R143,Average experience,3,Neutral
O00025,C0297,R119,Average experience,3,Neutral
O00026,C0050,R34,Too spicy for me,3,Neutral
O00027,C0301,R166,Too spicy for me,3,Neutral
O00028,C0219,R117,"Very good, will order again",4,Positive
O00029,C0095,R146,Will not order this again,3,Neutral
O00030,C0206,R153,"Food was okay, can be improved",5,Very Positive
O00031,C0188,R73,"Food was okay, can be improved",5,Very Positive
O00032,C0218,R157,"Very good, will order again",4,Positive
O00033,C0235,R73,"Very good, will order again",4,Positive
O00034,C0083,R16,Too spicy for me,3,Neutral
O00035,C0326,R11,Excellent taste and service,4,Positive
O00036,C0250,R46,"Very good, will order again",4,Positive
O00037,C0183,R21,Excellent taste and service,4,Positive
O00038,C0023,R100,Average experience,3,Neutral
O00039,C0105,R62,Average experience,3,Neutral
O00040,C0197,R67,Excellent taste and service,4,Positive
O00041,C0320,R116,Too spicy for me,3,Neutral
O00042,C0175,R12,Average experience,3,Neutral
O00043,C0281,R89,Perfectly cooked and tasty,5,Very Positive
O00044,C0181,R38,Excellent taste and service,4,Positive
O00045,C0169,R124,Not satisfied with the taste,2,Negative
O00046,C0268,R59,Service was slow but food good,4,Positive
O00047,C0102,R71,Too spicy for me,3,Neutral
O00048,C0273,R7,Will not order this again,3,Neutral
O00049,C0034,R162,Service was slow but food good,4,Positive
O00050,C0233,R154,"Food was okay, can be improved",5,Very Positive
O00051,C0068,R9,"Very good, will order again",4,Positive
O00052,C0132,R53,"Food was okay, can be improved",5,Very Positive
O00053,C0262,R85,Perfectly cooked and tasty,5,Very Positive
O00054,C0169,R43,Service was slow but food good,4,Positive
O00055,C0295,R137,Service was slow but food good,4,Positive
O00056,C0252,R38,Will not order this again,3,Neutral
O00057,C0228,R103,Will not order this again,3,Neutral
O00058,C0095,R90,Too spicy for me,3,Neutral
O00059,C0126,R75,Excellent taste and service,4,Positive
O00060,C0297,R3,Not satisfied with the taste,2,Negative
O00061,C0245,R45,Not satisfied with the taste,2,Negative
O00062,C0079,R143,Will not order this again,3,Neutral
O00063,C0113,R83,Service was slow but food good,4,Positive
O00064,C0038,R128,Excellent taste and service,4,Positive
O00065,C0102,R135,Not satisfied with the taste,2,Negative
O00066,C0236,R147,Service was slow but food good,4,Positive
O00067,C0244,R132,"Loved it, highly recommended",5,Very Positive
O00068,C0176,R72,Average experience,3,Neutral
O00069,C0041,R68,"Food was okay, can be improved",5,Very Positive
O00070,C0290,R131,Too spicy for me,3,Neutral
O00071,C0153,R50,Average experience,3,Neutral
O00072,C0206,R67,"Loved it, highly recommended",5,Very Positive
O00073,C0326,R18,"Food was okay, can be improved",5,Very Positive
O00074,C0187,R154,Too spicy for me,3,Neutral
O00075,C0153,R117,Will not order this again,3,Neutral
O00076,C0109,R62,Perfectly cooked and tasty,5,Very Positive
O00077,C0091,R79,"Loved it, highly recommended",5,Very Positive
O00078,C0080,R59,Average experience,3,Neutral
O00079,C0153,R86,Average experience,3,Neutral
O00080,C0124,R88,Service was slow but food good,4,Positive
O00081,C0190,R36,"Very good, will order again",4,Positive
O00082,C0195,R48,Perfectly cooked and tasty,5,Very Positive
O00083,C0135,R38,Service was slow but food good,4,Positive
O00084,C0215,R165,"Food was okay, can be improved",5,Very Positive
O00085,C0214,R73,"Food was okay, can be improved",5,Very Positive
O00086,C0165,R30,"Very good, will order again",4,Positive
O00087,C0172,R120,"Loved it, highly recommended",5,Very Positive
O00088,C0022,R116,Will not order this again,3,Neutral
O00089,C0185,R9,Average experience,3,Neutral
O00090,C0067,R67,Perfectly cooked and tasty,5,Very Positive
O00091,C0055,R100,Too spicy for me,3,Neutral
O00092,C0097,R134,Excellent taste and service,4,Positive
O00093,C0014,R57,Service was slow but food good,4,Positive
O00094,C0288,R36,"Food was okay, can be improved",5,Very Positive
O00095,C0235,R43,Average experience,3,Neutral
O00096,C0330,R88,Excellent taste and service,4,Positive
O00097,C0145,R119,Excellent taste and service,4,Positive
O00098,C0039,R26,Will not order this again,3,Neutral
O00099,C0130,R84,Excellent taste and service,4,Positive
O00100,C0109,R133,Too spicy for me,3,Neutral
O00101,C0327,R141,Perfectly cooked and tasty,5,Very Positive
O00102,C0014,R164,Service was slow but food good,4,Positive
O00103,C0305,R62,"Food was okay, can be improved",5,Very Positive
O00104,C0317,R38,Not satisfied with the taste,2,Negative
O00105,C0223,R152,"Very good, will order again",4,Positive
O00106,C0084,R14,"Loved it, highly recommended",5,Very Positive
O00107,C0276,R155,Average experience,3,Neutral
O00108,C0264,R80,Not satisfied with the taste,2,Negative
O00109,C0009,R21,Too spicy for me,3,Neutral
O00110,C0144,R26,"Loved it, highly recommended",5,Very Positive
O00111,C0228,R33,Excellent taste and service,4,Positive
O00112,C0040,R145,"Loved it, highly recommended",5,Very Positive
O00113,C0092,R112,"Food was okay, can be improved",5,Very Positive
O00114,C0054,R166,Too spicy for me,3,Neutral
O00115,C0142,R85,"Very good, will order again",4,Positive
O00116,C0215,R154,Too spicy for me,3,Neutral
O00117,C0012,R133,Too spicy for me,3,Neutral
O00118,C0160,R152,Too spicy for me,3,Neutral
O00119,C0109,R166,Perfectly cooked and tasty,5,Very Positive
O00120,C0271,R36,Average experience,3,Neutral
O00121,C0040,R47,Excellent taste and service,4,Positive
O00122,C0219,R165,"Very good, will order again",4,Positive
O00123,C0320,R28,Service was slow but food good,4,Positive
O00124,C0319,R73,"Very good, will order again",4,Positive
O00125,C0102,R22,Not satisfied with the taste,2,Negative
O00126,C0310,R29,Too spicy for me,3,Neutral
O00127,C0138,R2,Average experience,3,Neutral
O00128,C0028,R119,Not satisfied with the taste,2,Negative
O00129,C0013,R38,"Loved it, highly recommended",5,Very Positive
O00130,C0013,R149,"Very good, will order again",4,Positive
O00131,C0131,R45,"Loved it, highly recommended",5,Very Positive
O00132,C0271,R103,"Loved it, highly recommended",5,Very Positive
O00133,C0053,R52,"Loved it, highly recommended",5,Very Positive
O00134,C0240,R52,Average experience,3,Neutral
O00135,C0281,R22,Service was slow but food good,4,Positive
O00136,C0271,R87,"Very good, will order again",4,Positive
O00137,C0269,R163,Not satisfied with the taste,2,Negative
O00138,C0234,R1,Perfectly cooked and tasty,5,Very Positive
O00139,C0081,R11,"Very good, will order again",4,Positive
O00140,C0266,R135,"Loved it, highly recommended",5,Very Positive
O00141,C0197,R61,Service was slow but food good,4,Positive
O00142,C0116,R36,Will not order this again,3,Neutral
O00143,C0110,R147,Service was slow but food good,4,Positive
O00144,C0019,R71,Not satisfied with the taste,2,Negative
O00145,C0048,R116,Average experience,3,Neutral
O00146,C0079,R53,Too spicy for me,3,Neutral
O00147,C0111,R144,Excellent taste and service,4,Positive
O00148,C0290,R159,"Very good, will order again",4,Positive
O00149,C0053,R160,Service was slow but food good,4,Positive
O00150,C0062,R151,"Food was okay, can be improved",5,Very Positive
O00151,C0196,R42,Not satisfied with the taste,2,Negative
O00152,C0163,R139,Excellent taste and service,4,Positive
O00153,C0275,R8,Average experience,3,Neutral
O00154,C0045,R23,"Very good, will order again",4,Positive
O00155,C0296,R139,Average experience,3,Neutral
O00156,C0044,R168,Service was slow but food good,4,Positive
O00157,C0099,R160,"Loved it, highly recommended",5,Very Positive
O00158,C0200,R103,"Food was okay, can be improved",5,Very Positive
O00159,C0041,R50,"Very good, will order again",4,Positive
O00160,C0104,R43,Excellent taste and service,4,Positive
O00161,C0075,R164,Will not order this again,3,Neutral
O00162,C0211,R74,"Loved it, highly recommended",5,Very Positive
O00163,C0277,R143,Service was slow but food good,4,Positive
O00164,C0285,R23,Average experience,3,Neutral
O00165,C0125,R78,Service was slow but food good,4,Positive
O00166,C0095,R67,Average experience,3,Neutral
O00167,C0238,R146,Service was slow but food good,4,Positive
O00168,C0260,R80,"Loved it, highly recommended",5,Very Positive
O00169,C0212,R71,"Very good, will order again",4,Positive
O00170,C0241,R46,"Loved it, highly recommended",5,Very Positive
O00171,C0112,R16,Will not order this again,3,Neutral
O00172,C0231,R40,Excellent taste and service,4,Positive
O00173,C0218,R16,Perfectly cooked and tasty,5,Very Positive
O00174,C0318,R105,Average experience,3,Neutral
O00175,C0105,R35,Perfectly cooked and tasty,5,Very Positive
O00176,C0069,R82,Will not order this again,3,Neutral
O00177,C0046,R144,Average experience,3,Neutral
O00178,C0295,R100,"Loved it, highly recommended",5,Very Positive
O00179,C0266,R100,Too spicy for me,3,Neutral
O00180,C0049,R3,Too spicy for me,3,Neutral
O00181,C0019,R18,Will not order this again,3,Neutral
O00182,C0131,R165,"Loved it, highly recommended",5,Very Positive
O00183,C0098,R14,Service was slow but food good,4,Positive
O00184,C0257,R73,Service was slow but food good,4,Positive
O00185,C0044,R145,"Very good, will order again",4,Positive
O00186,C0105,R54,Service was slow but food good,4,Positive
O00187,C0157,R30,Perfectly cooked and tasty,5,Very Positive
O00188,C0328,R47,Average experience,3,Neutral
O00189,C0077,R36,Will not order this again,3,Neutral
O00190,C0290,R78,"Food was okay, can be improved",5,Very Positive
O00191,C0103,R47,Service was slow but food good,4,Positive
O00192,C0146,R79,Excellent taste and service,4,Positive
O00193,C0262,R156,"Loved it, highly recommended",5,Very Positive
O00194,C0196,R40,Service was slow but food good,4,Positive
O00195,C0224,R29,Too spicy for me,3,Neutral
O00196,C0060,R24,Will not order this again,3,Neutral
O00197,C0109,R23,Perfectly cooked and tasty,5,Very Positive
O00198,C0292,R156,"Food was okay, can be improved",5,Very Positive
O00199,C0002,R134,Not satisfied with the taste,2,Negative
O00200,C0247,R64,"Very good, will order again",4,Positive
O00201,C0306,R78,Will not order this again,3,Neutral
O00202,C0288,R160,Perfectly cooked and tasty,5,Very Positive
O00203,C0013,R47,Perfectly cooked and tasty,5,Very Positive
O00204,C0053,R13,Excellent taste and service,4,Positive
O00205,C0231,R56,Perfectly cooked and tasty,5,Very Positive
O00206,C0170,R160,"Very good, will order again",4,Positive
O00207,C0126,R105,Too spicy for me,3,Neutral
O00208,C0044,R37,Too spicy for me,3,Neutral
O00209,C0189,R163,"Food was okay, can be improved",5,Very Positive
O00210,C0327,R164,Excellent taste and service,4,Positive
O00211,C0197,R20,"Loved it, highly recommended",5,Very Positive
O00212,C0191,R75,Too spicy for me,3,Neutral
O00213,C0299,R79,Will not order this again,3,Neutral
O00214,C0181,R78,"Loved it, highly recommended",5,Very Positive
O00215,C0323,R7,Excellent taste and service,4,Positive
O00216,C0301,R128,"Food was okay, can be improved",5,Very Positive
O00217,C0263,R84,Perfectly cooked and tasty,5,Very Positive
O00218,C0182,R159,"Very good, will order again",4,Positive
O00219,C0269,R29,Not satisfied with the taste,2,Negative
O00220,C0148,R44,"Food was okay, can be improved",5,Very Positive
O00221,C0124,R158,"Food was okay, can be improved",5,Very Positive
O00222,C0302,R75,Average experience,3,Neutral
O00223,C0008,R29,"Food was okay, can be improved",5,Very Positive
O00224,C0226,R85,"Loved it, highly recommended",5,Very Positive
O00225,C0276,R28,"Very good, will order again",4,Positive
O00226,C0070,R46,Not satisfied with the taste,2,Negative
O00227,C0092,R46,Excellent taste and service,4,Positive
O00228,C0180,R44,"Food was okay, can be improved",5,Very Positive
O00229,C0200,R80,"Loved it, highly recommended",5,Very Positive
O00230,C0287,R152,Perfectly cooked and tasty,5,Very Positive
O00231,C0212,R12,Service was slow but food good,4,Positive
O00232,C0024,R110,Perfectly cooked and tasty,5,Very Positive
O00233,C0258,R149,"Loved it, highly recommended",5,Very Positive
O00234,C0071,R105,"Loved it, highly recommended",5,Very Positive
O00235,C0118,R76,"Very good, will order again",4,Positive
O00236,C0199,R148,"Food was okay, can be improved",5,Very Positive
O00237,C0263,R79,Not satisfied with the taste,2,Negative
O00238,C0257,R138,Excellent taste and service,4,Positive
O00239,C0258,R14,Will not order this again,3,Neutral
O00240,C0278,R151,Perfectly cooked and tasty,5,Very Positive
O00241,C0235,R166,"Food was okay, can be improved",5,Very Positive
O00242,C0312,R42,"Loved it, highly recommended",5,Very Positive
O00243,C0123,R47,Perfectly cooked and tasty,5,Very Positive
O00244,C0160,R127,"Very good, will order again",4,Positive
O00245,C0259,R169,"Very good, will order again",4,Positive
O00246,C0273,R81,Excellent taste and service,4,Positive
O00247,C0308,R6,Service was slow but food good,4,Positive
O00248,C0277,R163,"Food was okay, can be improved",5,Very Positive
O00249,C0025,R18,Service was slow but food good,4,Positive
O00250,C0097,R35,"Loved it, highly recommended",5,Very Positive
O00251,C0081,R20,Too spicy for me,3,Neutral
O00252,C0132,R88,Will not order this again,3,Neutral
O00253,C0068,R157,Service was slow but food good,4,Positive
O00254,C0300,R86,Not satisfied with the taste,2,Negative
O00255,C0269,R124,Too spicy for me,3,Neutral
O00256,C0267,R133,Average experience,3,Neutral
O00257,C0009,R82,Perfectly cooked and tasty,5,Very Positive
O00258,C0149,R147,Excellent taste and service,4,Positive
O00259,C0312,R75,"Food was okay, can be improved",5,Very Positive
O00260,C0031,R86,Too spicy for me,3,Neutral
O00261,C0296,R44,Too spicy for me,3,Neutral
O00262,C0158,R136,Excellent taste and service,4,Positive
O00263,C0186,R139,Service was slow but food good,4,Positive
O00264,C0161,R117,Service was slow but food good,4,Positive
O00265,C0240,R146,Too spicy for me,3,Neutral
O00266,C0140,R82,"Very good, will order again",4,Positive
O00267,C0315,R127,Service was slow but food good,4,Positive
O00268,C0166,R145,Service was slow but food good,4,Positive
O00269,C0110,R76,"Loved it, highly recommended",5,Very Positive
O00270,C0006,R45,Too spicy for me,3,Neutral
O00271,C0267,R28,"Loved it, highly recommended",5,Very Positive
O00272,C0156,R38,"Loved it, highly recommended",5,Very Positive
O00273,C0245,R68,Excellent taste and service,4,Positive
O00274,C0314,R64,Service was slow but food good,4,Positive
O00275,C0184,R136,Average experience,3,Neutral
O00276,C0226,R2,Excellent taste and service,4,Positive
O00277,C0258,R83,Average experience,3,Neutral
O00278,C0322,R9,Average experience,3,Neutral
O00279,C0095,R22,"Food was okay, can be improved",5,Very Positive
O00280,C0155,R68,Will not order this again,3,Neutral
O00281,C0237,R79,Will not order this again,3,Neutral
O00282,C0007,R88,Average experience,3,Neutral
O00283,C0177,R103,"Loved it, highly recommended",5,Very Positive
O00284,C0153,R11,"Loved it, highly recommended",5,Very Positive
O00285,C0100,R143,Not satisfied with the taste,2,Negative
O00286,C0115,R142,Excellent taste and service,4,Positive
O00287,C0037,R1,Not satisfied with the taste,2,Negative
O00288,C0320,R10,"Very good, will order again",4,Positive
O00289,C0111,R165,Not satisfied with the taste,2,Negative
O00290,C0034,R63,Perfectly cooked and tasty,5,Very Positive
O00291,C0166,R165,Not satisfied with the taste,2,Negative
O00292,C0276,R75,Will not order this again,3,Neutral
O00293,C0197,R27,Too spicy for me,3,Neutral
O00294,C0128,R145,Excellent taste and service,4,Positive
O00295,C0070,R17,Average experience,3,Neutral
O00296,C0239,R53,Excellent taste and service,4,Positive
O00297,C0328,R133,Excellent taste and service,4,Positive
O00298,C0284,R75,Not satisfied with the taste,2,Negative
O00299,C0233,R139,"Loved it, highly recommended",5,Very Positive
O00300,C0047,R117,Excellent taste and service,4,Positive
O00301,C0174,R10,Too spicy for me,3,Neutral
O00302,C0321,R165,"Loved it, highly recommended",5,Very Positive
O00303,C0009,R79,"Loved it, highly recommended",5,Very Positive
O00304,C0330,R87,Not satisfied with the taste,2,Negative
O00305,C0312,R48,"Very good, will order again",4,Positive
O00306,C0248,R73,Not satisfied with the taste,2,Negative
O00307,C0169,R128,Too spicy for me,3,Neutral
O00308,C0035,R44,Too spicy for me,3,Neutral
O00309,C0018,R111,Not satisfied with the taste,2,Negative
O00310,C0052,R48,Average experience,3,Neutral
O00311,C0044,R169,"Very good, will order again",4,Positive
O00312,C0114,R3,Not satisfied with the taste,2,Negative
O00313,C0034,R48,"Food was okay, can be improved",5,Very Positive
O00314,C0276,R119,"Very good, will order again",4,Positive
O00315,C0196,R157,Too spicy for me,3,Neutral
O00316,C0106,R128,"Very good, will order again",4,Positive
O00317,C0148,R36,Perfectly cooked and tasty,5,Very Positive
O00318,C0319,R71,Excellent taste and service,4,Positive
O00319,C0097,R160,Too spicy for me,3,Neutral
O00320,C0141,R162,Perfectly cooked and tasty,5,Very Positive
O00321,C0169,R25,Perfectly cooked and tasty,5,Very Positive
O00322,C0063,R144,Not satisfied with the taste,2,Negative
O00323,C0191,R148,Service was slow but food good,4,Positive
O00324,C0085,R16,Service was slow but food good,4,Positive
O00325,C0203,R48,"Loved it, highly recommended",5,Very Positive
O00326,C0157,R160,Will not order this again,3,Neutral
O00327,C0111,R5,Service was slow but food good,4,Positive
O00328,C0209,R47,Average experience,3,Neutral
O00329,C0095,R1,Perfectly cooked and tasty,5,Very Positive
O00330,C0330,R71,Too spicy for me,3,Neutral
O00331,C0054,R45,Service was slow but food good,4,Positive
O00332,C0238,R128,"Food was okay, can be improved",5,Very Positive
O00333,C0259,R164,Service was slow but food good,4,Positive
O00334,C0257,R11,Perfectly cooked and tasty,5,Very Positive
O00335,C0143,R100,"Loved it, highly recommended",5,Very Positive
O00336,C0321,R152,Too spicy for me,3,Neutral
O00337,C0212,R64,"Loved it, highly recommended",5,Very Positive
O00338,C0153,R150,Service was slow but food good,4,Positive
O00339,C0275,R4,Perfectly cooked and tasty,5,Very Positive
O00340,C0205,R42,Excellent taste and service,4,Positive
O00341,C0254,R146,Excellent taste and service,4,Positive
O00342,C0060,R13,"Very good, will order again",4,Positive
O00343,C0181,R36,"Food was okay, can be improved",5,Very Positive
O00344,C0046,R90,"Food was okay, can be improved",5,Very Positive
O00345,C0315,R4,Excellent taste and service,4,Positive
O00346,C0199,R57,Too spicy for me,3,Neutral
O00347,C0074,R12,Perfectly cooked and tasty,5,Very Positive
O00348,C0316,R147,Excellent taste and service,4,Positive
O00349,C0198,R156,Average experience,3,Neutral
O00350,C0137,R57,Will not order this again,3,Neutral
O00351,C0221,R137,Too spicy for me,3,Neutral
O00352,C0057,R55,"Loved it, highly recommended",5,Very Positive
O00353,C0263,R146,Average experience,3,Neutral
